	15681
Alex Ungerman ET Online	1
Chris Stott	1
SARA MOULTON, Associated Press	1
Toni Matthews	1
Harry Minium	1
David Oon	1
Carsforsale.com	1
Paul Kolas Telegram &amp; Gazette Reviewer	1
Vimicro International Corporation	1
Anand Ram	1
A.J. Baime	1
Lisa Baumann  Associated Press	1
Leslie Shaffer	1
buffalonews	1
Jonathan Barrett	1
Galen Moore	1
Messenger Post	1
Jennifer Quimson	1
Steve Lord	1
Matt Vensel	1
BILL BARROW and JULIE BYKOWICZ	1
Stephen Coleman stephen@emporia.com	1
Rosie DiManno	1
École Polytechnique Fédérale de Lausanne	1
John Heilemann	1
Al Haas,	1
Timothy W. Martin	1
Lori Hixon	1
William Meyers	1
Vu Trong Khanh	1
PATRICK O’NEILL	1
Leonard Stillman	1
MALCOLM FARR	1
Shane Rodgers	1
Terrence McCoy	1
Leila Abboud	1
Olivia Hampton	1
Colin Woodard	1
Steve Slater	1
Matt Pittman	1
Yuji Nakamura	1
Syd Kearney	1
TARA SULLIVAN	1
Ainslie Chandler	1
Heidi Hoopes	1
Patrick M. O&apos;Connell	1
Steve Huff	1
jpicard@thehill.com (Kevin Cirilli)	1
BRENDAN FARRINGTON Associated Press	1
Howie Kussoy	1
Mike Riley | Union sports intern	1
The CDM Group	1
Pratyush Patra	1
Nic Ashman	1
HGS	1
Alok K N Mishra	1
Ellen Gamerman	1
Greg Knowlden For the Pocono Record	1
Jon Tayler	1
Daisuke Wakabayashi	1
Erin E. Arvedlund,	1
fsu	1
JEANNE MCGOVERN	1
Meredith Jacobs	1
MARK SCOTT	1
Mike Rogoway | The Oregonian/OregonLive	1
"Hudson Sangree 
hsangree@sacbee.com"	1
JON KRAWCZYNSKI, AP Basketball Writer	1
HAROLD HECKLE	1
Benjamin Harrold	1
Bob Wexler	1
Julie Halpert	1
Gourab Das	1
Motif Investing	1
Travis Johnson	1
Steve Cummins	1
Lindsay Cronin	1
Matt Hladik	1
Kathleen Olson	1
Raphael Minder	1
Sarah Fister Gale	1
Dave Yin	1
Bobby Nightengale	1
"John Bordsen 
jbordsen@charlotteobserver.com"	1
William Harrel	1
Therapy Partner	1
Jeff Grubb	1
Ari Bajaj	1
Queen's University Belfast	1
Brian McCutcheon	1
MARC FORTIER	1
TIM BOOTH	1
Janeen Pugh	1
RODERICK BOONE	1
David Riccio and Neil Cordy	1
JOSHUA LAGUNEZ	1
Raul Dominguez Jr., For the Express-News	1
Business Insider	1
Anton Harber	1
Richard Witt	1
Debra Bruno Special To The Washington Post	1
Tamer El-Ghobashy	1
Richard Adhikari • E-Commerce Times • ECT News Network	1
Amanda Bellucco	1
Les Bowen	1
LEANNE ITALIE, Associated Press	1
Omnicom Group	1
MESFIN FEKADU, AP Music Writer	1
Stephanie Bodoni	1
John Wawrow AP Hockey Writer	1
Livemint	1
JOHN PYE	1
Elena Douglas	1
Euan McKirdy	1
Keiko Morris	1
Curtis Chan	1
American Heart Association	1
Randolph P. Johnston	1
David Morgan	1
Jennifer Levitz	1
Written by: Sam Winstrom, Assignment Editor	1
Herbert Lash	1
rose	1
Brent Lang	1
Barry Didcock	1
"Barbara Vancheri
Pittsburgh Post-Gazette"	1
MARY ESCH	1
Cara Hessels	1
Hussein Dakroub	1
Robert Monson	1
KYLE HIGHTOWER	1
Chloe Leshner, Reporter	1
Eugene Makarev	1
Jeremy Glaser	1
Justin Lafferty	1
Dan Joling	1
Michael Essery	1
Hebrew University of Jerusalem	1
Nicholas Dames	1
NATHAN DEEN	1
Michael Martinez, Stella Chan and Doug Criss	1
Getty Images	1
Sportech Venues, Inc.	1
MAE ANDERSON	1
Jeff Deters	1
akash	1
Thabojan Rasiah	1
Jennifer Ditchburn	1
David Bauder The Associated Press	1
Mark Pasetsky	1
Cogent Communications Holdings, Inc.	1
Jason Lange and Lindsay Dunsmuir	1
"Jonathan Landrum Jr.
The Associated Press"	1
JTA	1
Jon Krawczynski Associated Press Sports Writer (noreply@mdjonline.com)	1
Brian Rose / Times-News	1
Newswise Trends	1
Jaime Purvis	1
Thomas Grove	1
Chicago Tribune staff	1
AMY ZAHN	1
twocents@thestreet.com (Scott Gamm, Jane King and Rhonda Schaffler)	1
'No regrets': Peter Garrett stands by criticism of Kevin Rudd at launch of Big Blue Sky memoir	1
Lisa Barrington	1
Euan Rocha	1
Mike Minotti	1
Jacob Bryant,	1
Nadine Malek	1
Erica Corsano	1
DYLAN WILSON	1
Debra Birnbaum,	1
Simon Maierhofer	1
Nick Giongco	1
Katie Richards	1
LALITHAA KRISHNAN	1
Ashley Welch CBS News	1
Jordan Raanan | NJ Advance Media for NJ.com	1
Chuck Embree	1
JENNIFER KOPF | Staff Writer	1
Michael Idato	1
Alere	1
Monster Worldwide, Inc.	1
JOHN WAWROW	1
Bengaluru	1
Brent Pohlman	1
"Mike Fitzpatrick
AP Writer"	1
Andy Battaglia	1
Dan Strumpf	1
Kelly Walsh	1
MICHAEL APPELGATE Chronicle Sports Writer	1
GARY STALLARD/For The Lufkin News	1
Greg Engle	1
Hill Holliday	1
GlacialTech Inc	1
Sal Cacciatore	1
Lane Hanson	1
Jing Cao	1
Marissa Lang	1
LifePoint Health	1
Stefanie Crucius	1
Rachel Wold	1
Dee-Ann Durbin, Associated Press	1
Sadanand Dhume	1
Tracy Lien and Andrea Chang	1
Matt Henry Midway Driller Sports Writer mhenry@taftmidwaydriller.com	1
Tripp Mickle	1
Mark Russell	1
Times-Union	1
Tim Dodd and Edmund Tadros	1
JULIE WATSON	1
Allan Ulrich	1
STEVE FRYER	1
Luke Reilly	1
Andrew Gregory	1
Scott Kelly	1
Colin Poitras, University of Connecticut	1
Joshua Goodman, Associated Press	1
Neal Augenstein	1
Lucas Davis ldavis@morningsun.net	1
Pat Shipman	1
JOHN O'CONNOR The Associated Press	1
Aleksandra Sobic	1
Jonathan Takiff,	1
Kathleen Pender	1
Zach Emmanuel	1
Pranita Jonnalagedda	1
The Ohio State University Wexner Medical Center	1
Lolly Bowean	1
Philip Wen	1
Joe Mcdonald, Associated Press	1
Laura Black	1
Emil Protalinski	1
Brandon Marcello | bmarcello@al.com	1
I Made Sentana	1
Jason Rowan	1
T.J. Auclair	1
The Guardian	1
Shirley Pelts	1
Source: Alamogordo Daily News	1
Wilson Elser	1
Darla Worden	1
Noah Frank	1
Marilynn Marchione, AP Chief Medical Writer	1
Sandy Weisman	1
David Román	1
Ruth Simon	1
Bill Cauley bcauley@newspost.com	1
Source: Basingstoke Gazette	1
Michael Hogan	1
INTERPUBLIC GROUP OF COMPANIES, INC.	1
Moira McCarthy	1
Kevin Niendorf Record Correspondent	1
Ed Garner	1
Jacob Adelman,	1
JOHN O&apos;CONNOR	1
Fraunhofer-Gesellschaft	1
Kristina Dorsey	1
Lisa Lerer and Catherine Lucey, Associated Press	1
Hendrik Varnholt   and   Sarah Sloat	1
Alice Hines	1
Rebecca Rowe	1
Sean Axmaker	1
Drew Hinshaw	1
Leah Rodriguez	1
Ronald Blum The Associated Press	1
Ryan Kneller	1
Gretta Monahan	1
"Erick Plattner 

Friday Beer Correspondent"	1
Vanessa McGrady	1
Charis Chang	1
Javaheri, Alireza	1
USA Athletic Media Relations	1
Stadium Goods	1
Charles (Chuck) Rubin	1
Chris Morris | The Star-Ledger	1
Source: Western Telegraph	1
C.W. Nevius	1
Charles Arthur	1
V Lakshmi	1
DAVID McHUGH and COLLEEN BARRY	1
Cliona O'Dowd	1
Michael Sarkis	1
Lauren Pollock	1
Steve Hunt	1
Andrew Sentance	1
Gene Chamberlain	1
Dondrae Mills	1
Source: WAPT-TV Jackson	1
Carlos Rodriguez Associated Press Sports Writer (noreply@mdjonline.com)	1
Laura Frazier | The Oregonian/OregonLive	1
Ben Glicksman	1
Stephanie Wong	1
Margaret Minnicks	1
GuruFocus	1
Michael Lock	1
Claudia Assis	1
Cheyenne Hopkins	1
McDermott Will &amp; Emery	1
Dania Saadi	1
Alex Roth	1
Dylan Cannon, KSL.com Contributor	1
Kerry Lambert	1
Paul de Barros	1
Laura Skelding	1
Nicola Oakley	1
Deutsche Bank may slash bonuses by one-third	1
Christopher S. Rugaber, Associated Press	1
From bloomberg.com	1
Paul Mozur	1
Jeff Duncan, NOLA.com | The Times-Picayune	1
Matthew Malinowski	1
J-W Staff Reports	1
Brittany Wong	1
John Aston	1
Winthrop Quigley / Journal Staff Writer	1
Al Alexander More Content Now	1
Aditya Kalra	1
Peter Gorman	1
Leif Johnson	1
Hugh Son	1
twocents@thestreet.com (Valerie Young)	1
NICOLE EVATT	1
Maxwell Murphy	1
Terrence Thomas By Terrence Thomas, Staff WriterStaff writer	1
Kakoli Chakraborty	1
JEFF AYERS	1
John Prandato	1
RON HARRIS	1
Andrea Slattery	1
New York Times	1
RnR Market Research	1
Star-Adversiter staff	1
23andMe, Inc.	1
Carl O'Donnell	1
Zipongo	1
John W. Miller	1
Investopedia	1
Jennifer Sorentrue	1
Pat McConnell	1
Mary Beltrante	1
Jasson Urbach	1
Rachael King	1
Thomas Lawrence Record Staff Writer	1
Times Sports Staff	1
Amanda Kolson Hurley	1
Rosalyn D’Mello	1
Tiku, Pran	1
Michelle Chapman, AP Business Writer	1
Ange Aboa	1
Ron Higgins, NOLA.com | The Times-Picayune	1
Cliff Corcoran	1
kmattioli@sportingnews.com (Kami Mattioli)	1
Corilyn Shropshire	1
Bekezela Phakathi	1
Bobbie Spivey	1
Charlene Morling	1
PRESS-ENTERPRISE	1
Prashant Mehra	1
Dean Reynolds CBS News	1
Telis Demos	1
Rich Trenholm	1
Knights of Columbus	1
Adam Satariano	1
Sarah Westwood	1
Abigail Gamble	1
Phil Rosenthal	1
"Greg Gordon 
ggordon@mcclatchydc.com"	1
V Krishnaswamy	1
JENNA FRYER AP Auto Racing Writer	1
Gilly Harris	1
Geoff Winestock and Angela Macdonald	1
Julie Gordon	1
Staff Report	1
Jessica Gardner	1
Schrader Real Estate and Auction Company	1
DAN ALBANO	1
Associated Press and WBAL NewsRadio 1090	1
ekolenich@timesdispatch.com(Eric Kolenich)	1
Elaine Kurtenbach, Ap Business Writer	1
MARCIA DUNN, AP Aerospace Writer	1
Evan S. Benn	1
Leif Reigstad	1
Matt Birch	1
NJCardFan	1
Maria Smith	1
Source: CIO	1
Robert Rheubottom	1
SANDRA STOKLEY	1
Barry McDonald	1
Source: WINK-TV Fort Myers	1
Brian L. Cox	1
MARK PRATT	1
Roger Elwell	1
Fratto, Mike	1
David Yong	1
Jennifer Rubin	1
TruthInAdvertising.org	1
Dana Scott	1
Robert Laura	1
Anna Patty	1
Justin Bartak	1
Stephen Howard	1
Gayle Fee	1
Ken Sweet, The Associated Press	1
Heather McNeill	1
Steven Musil	1
Khulekani Magubane	1
Enactus	1
The Hoffman Agency	1
JACKIE MOE	1
Jay Walker	1
BLAINE KYLLO	1
The E.W. Scripps Company	1
Bradley Berman	1
TU THANH HA	1
Jane Murphy	1
JAKE PEARSON	1
Rent.com	1
Lawrence Lewitinn	1
Melanie Burgess CareerOne deputy editor	1
Colliers International	1
Anthony Keane	1
BizSlate Inc.	1
Contributing Reporter	1
BRAD CROUCH	1
Paul Mozur and Katie Benner	1
dfawcett@princewilliamtoday.com(David_Fawcett)	1
(Yuehan Liu - Capital News Service)	1
Source: Maldonandburnham Standard	1
iswanson@thehill.com (Kevin Cirilli)	1
Wei Gu	1
Sasha Grishin	1
PayPal	1
Kyle McCarthy	1
Richard Sandomir	1
Kate Garber	1
Donna Gehrke-White	1
Guillermo Woolfolk	1
Aayush Puthran | Press Trust of India	1
World Bulletin / News Desk	1
Joe Osborne	1
AfterMaster, Inc.	1
Russell Contreras The Associated Press	1
"Curtis Pashelka

cpashelka@bayareanewsgroup.com"	1
Chelsea Dulaney	1
Anna Edney	1
Michael Flebotte	1
FROM NEWS SERVICE REPORTS |	1
Keukenhof	1
Jeff Mapes | The Oregonian/OregonLive	1
Teresa M. Walker	1
Aegion Corporation	1
CaptJackSparrow	1
J.B. Cozens	1
TOM SCHLICHTER. Special to Newsday	1
Kaplan Test Prep	1
Alex Napoliello | NJ Advance Media for NJ.com	1
NOEL MURRAY	1
Nick O'Malley | nomalley@masslive.com	1
Watson William (noreply@blogger.com)	1
Linda a. Johnson, AP Business Writer	1
Melonyce McAfee, CNN	1
Neale Godfrey	1
Cameron Morfit	1
WFTV Channel 9	1
Gary Schmitt	1
awincze@herald-leader.com (Alicia Wincze Hughes)	1
AT&amp;T Inc.	1
IPG Mediabrands	1
Michael Schulman	1
Chris Taylor	1
Priscilla Malinga	1
Diana Sroka Rickert	1
Julia Sayers | jsayers@al.com	1
LAURA BLASEY	1
Leah Fein-Roque	1
Jordan Honeycutt	1
COLLIN BINKLEY Associated Press	1
Motown	1
Beth Pinsker	1
Michele Altman	1
Bradley Arant Boult Cummings LLP	1
Michael Liedtke, AP Technology Writer	1
Juro Osawa	1
Gary Bedore	1
The Peninsula Qatar	1
Mark Scott	1
Dan Rule	1
Tom Warren	1
Ira Basen	1
Mark Flaherty	1
MARK DIDTLER	1
JERE HESTER	1
Richard Broinowski	1
Nupur Anand	1
Greg Braxton	1
Lananh Nguyen	1
